,Place Name,Latitude,Longitude,weather_next_3hrs,weather_desc_next_3hrs,temp_next_3hrs,temp_feels_next_3hrs,date_time_next_3hrs,weather_next_6hrs,weather_desc_next_6hrs,temp_next_6hrs,temp_feels_next_6hrs,date_time_next_6hrs,weather_next_9hrs,weather_desc_next_9hrs,temp_next_9hrs,temp_feels_next_9hrs,date_time_next_9hrs,weather_next_12hrs,weather_desc_next_12hrs,temp_next_12hrs,temp_feels_next_12hrs,date_time_next_12hrs
18,"Lincoln, Lincolnshire, the UK",53.234444,-0.538611,Clouds,broken clouds,283.13,280.05,2023-04-19 09:00:00,Clouds,broken clouds,283.54,282.72,2023-04-19 12:00:00,Clouds,scattered clouds,283.9,282.78,2023-04-19 15:00:00,Clear,clear sky,281.12,277.64,2023-04-19 18:00:00
19,"Lichfield, Staffordshire, the UK",52.6835,-1.82653,Clouds,broken clouds,281.93,278.42,2023-04-19 09:00:00,Rain,light rain,282.56,279.23,2023-04-19 12:00:00,Clouds,overcast clouds,284.42,283.43,2023-04-19 15:00:00,Clouds,broken clouds,281.99,278.44,2023-04-19 18:00:00
20,"Leicester, the East Midlands, the UK",52.63333,-1.133333,Clouds,broken clouds,282.7,279.43,2023-04-19 09:00:00,Rain,light rain,282.94,279.9,2023-04-19 12:00:00,Clouds,broken clouds,284.6,283.65,2023-04-19 15:00:00,Clouds,scattered clouds,281.47,277.86,2023-04-19 18:00:00
21,"Lancaster, Lancashire, the UK",54.047,-2.801,Clouds,broken clouds,283.47,282.7,2023-04-19 09:00:00,Clouds,broken clouds,283.92,283.09,2023-04-19 12:00:00,Clouds,broken clouds,285.1,284.07,2023-04-19 15:00:00,Clouds,scattered clouds,282.92,279.59,2023-04-19 18:00:00
22,"Hereford, Herefordshire, the UK",52.0565,-2.716,Clouds,overcast clouds,283.03,279.94,2023-04-19 09:00:00,Rain,light rain,283.97,283.27,2023-04-19 12:00:00,Rain,light rain,284.69,284.07,2023-04-19 15:00:00,Rain,light rain,284.16,283.22,2023-04-19 18:00:00
23,"Gloucester, Gloucestershire, the UK",51.864445,-2.244444,Clouds,scattered clouds,283.74,282.84,2023-04-19 09:00:00,Rain,light rain,284.62,283.83,2023-04-19 12:00:00,Rain,light rain,285.23,284.56,2023-04-19 15:00:00,Clouds,broken clouds,283.92,282.96,2023-04-19 18:00:00
24,"Glasgow, the UK",55.860916,-4.251433,Clear,clear sky,282.29,279.44,2023-04-19 09:00:00,Clear,clear sky,283.66,282.57,2023-04-19 12:00:00,Clear,clear sky,285.28,284.06,2023-04-19 15:00:00,Clear,clear sky,283.87,282.56,2023-04-19 18:00:00
25,"Exeter, the UK",50.716667,-3.533333,Rain,light rain,282.51,279.44,2023-04-19 09:00:00,Rain,light rain,283.69,283.05,2023-04-19 12:00:00,Rain,light rain,285.28,284.72,2023-04-19 15:00:00,Rain,light rain,285.49,285.05,2023-04-19 18:00:00
26,"Ely, Cambridgeshire, the UK",52.398056,0.262222,Clouds,overcast clouds,283.36,282.84,2023-04-19 09:00:00,Clouds,overcast clouds,284.0,283.28,2023-04-19 12:00:00,Clouds,broken clouds,284.62,283.52,2023-04-19 15:00:00,Clouds,few clouds,281.86,278.42,2023-04-19 18:00:00
27,"Durham, the UK",54.7761,-1.5733,Clouds,broken clouds,282.13,279.05,2023-04-19 09:00:00,Clouds,broken clouds,282.86,279.77,2023-04-19 12:00:00,Clouds,few clouds,283.35,282.18,2023-04-19 15:00:00,Clear,clear sky,281.64,279.33,2023-04-19 18:00:00
